Frame,Latency_ms
2939,42.2859
2940,42.4954
2941,45.1641
2942,41.9378
2943,41.3125
2944,45.6197
2945,45.9857
2946,43.2768
2947,43.3962
2948,47.5862
2949,44.3604
2950,45.7170
2951,44.5617
2952,42.6592
2953,42.9146
2954,43.9883
2955,40.8943
2956,43.9188
2957,39.1823
2958,43.5599
2959,44.3222
2960,42.3832
2961,44.5005
2962,43.3239
2963,39.6595
2964,43.9315
2965,43.7878
2966,43.2169
2967,42.1789
2968,41.8537
2969,44.8671
2970,41.1600
2971,39.6276
2972,44.7358
2973,43.0543
2974,42.7772
2975,42.9782
2976,44.4535
2977,46.5909
2978,42.8588
2979,44.3759
2980,41.4819
2981,43.1771
2982,41.2725
2983,42.3428
2984,39.1365
2985,46.5165
2986,39.4477
2987,43.4819
2988,38.4419
2989,42.1344
2990,43.2201
2991,43.3225
2992,43.8168
2993,39.4861
2994,41.3662
2995,41.2397
2996,40.3282
2997,43.6270
2998,41.3645
2999,42.5013
3000,43.6855
3001,38.0067
3002,42.9336
3003,40.0108
3004,40.3242
3005,42.1291
3006,44.6442
3007,43.1932
3008,43.9376
3009,43.1273
3010,43.7348
3011,37.9191
3012,42.0835
3013,41.6463
3014,44.9591
3015,42.9813
3016,43.6081
3017,39.2734
3018,43.8194
3019,39.3509
3020,40.9451
3021,45.2052
3022,40.6575
3023,41.2261
3024,39.4797
3025,44.3828
3026,38.6118
3027,39.6074
3028,40.0646
3029,44.6665
3030,46.5147
3031,47.5697
3032,41.6727
3033,47.1458
3034,42.9030
3035,44.5636
3036,46.1202
3037,44.1549
3038,40.8388
3039,46.2995
3040,40.6646
3041,44.4652
3042,42.1537
3043,42.8913
3044,42.6575
3045,45.7176
3046,41.9880
3047,40.1850
3048,38.7209
3049,44.0298
3050,44.6072
3051,41.0162
3052,44.8129
3053,44.8366
3054,42.9047
3055,41.5024
3056,43.4801
3057,41.8249
3058,40.3884
3059,41.1940
3060,42.3869
3061,47.9133
3062,43.2099
3063,39.9624
3064,42.7974
3065,41.2580
3066,44.1272
3067,41.7770
3068,43.1682
3069,41.6692
3070,41.2126
3071,39.2520
3072,43.2343
3073,44.7945
3074,38.7152
3075,42.8053
3076,44.7412
3077,41.9891
3078,50.4113
3079,46.3293
3080,47.4768
3081,43.5402
3082,41.7376
3083,51.3083
3084,40.6967
3085,46.5389
3086,41.0200
3087,45.1275
3088,42.0042
3089,39.9466
3090,42.8055
3091,40.6835
3092,41.6675
3093,42.1794
3094,39.4593
3095,44.2708
3096,41.6803
3097,42.2855
3098,40.0938
3099,41.1985
3100,48.7501
3101,42.4156
3102,40.3463
3103,44.3221
3104,41.1507
3105,39.6235
3106,40.1363
3107,41.2152
3108,39.9544
3109,47.2709
3110,39.1794
3111,45.9635
3112,43.4432
3113,40.1336
3114,37.7328
3115,43.1380
3116,42.4932
3117,41.6144
3118,44.3802
3119,41.5508
3120,44.5863
3121,42.5682
3122,42.9429
3123,42.6038
3124,42.7410
3125,42.2028
3126,40.2018
3127,41.2995
3128,43.7672
3129,41.5710
3130,37.2202
3131,43.0705
3132,43.2702
3133,38.6282
3134,40.6511
3135,40.2327
3136,40.5288
3137,38.6543
3138,45.3534
3139,38.6731
3140,45.4962
3141,42.4880
3142,44.9241
3143,41.7021
3144,41.0296
3145,42.5454
3146,41.6321
3147,37.5195
3148,44.4016
3149,39.1148
3150,40.1903
3151,41.7337
3152,42.1611
3153,44.7414
3154,40.6384
3155,45.1975
3156,39.7590
3157,45.8702
3158,42.4180
3159,38.9529
3160,40.4798
3161,45.2366
3162,43.4158
3163,46.1596
3164,43.3754
3165,38.1573
3166,41.8664
3167,40.0465
3168,42.9487
3169,40.1941
3170,40.1282
3171,41.2572
3172,39.8093
3173,45.9816
3174,44.5839
3175,39.1705
3176,38.0899
3177,42.8099
3178,45.7201
3179,39.8840
3180,45.5390
3181,42.0912
3182,42.6834
3183,40.0584
3184,42.8935
3185,42.3934
3186,42.2389
3187,38.9409
3188,41.1866
3189,42.6191
3190,46.4635
3191,41.8927
3192,43.9667
3193,45.2806
3194,39.1408
3195,39.3150
3196,41.6035
3197,39.0259
3198,78.5711
3199,41.5647
3200,42.8676
3201,46.7658
3202,44.6955
3203,44.2307
3204,42.6669
3205,45.6056
3206,41.9630
3207,45.0684
3208,41.7314
3209,44.3898
3210,43.3179
3211,43.2807
3212,40.2633
3213,42.4644
3214,42.6318
3215,41.7371
3216,45.2339
3217,48.9455
3218,45.3214
3219,45.7415
3220,40.2188
3221,45.1355
3222,46.8225
3223,43.6270
3224,44.5572
3225,39.3424
3226,42.7963
3227,42.8477
3228,43.2730
3229,41.4427
3230,45.7979
3231,37.7406
3232,38.8112
3233,38.0641
3234,43.2789
3235,48.3437
3236,39.3167
3237,40.6290
3238,44.1321
3239,40.2559
3240,42.0454
3241,40.3914
3242,41.1903
3243,42.0439
3244,41.2401
3245,37.2162
3246,41.8860
3247,41.5647
3248,41.1879
3249,50.2318
3250,38.8701
3251,42.2087
3252,41.2504
3253,48.2903
3254,43.5441
3255,41.4611
3256,42.0944
3257,44.5614
3258,39.3739
3259,40.9963
3260,41.8925
3261,40.8566
3262,42.3373
3263,42.8277
3264,41.3379
3265,41.4446
3266,39.3561
3267,42.8701
3268,41.4864
3269,42.4585
3270,38.1075
3271,40.3518
3272,39.5926
3273,41.2976
3274,38.4895
3275,42.3896
3276,39.0621
3277,41.3382
3278,38.1373
3279,43.2559
3280,38.0904
3281,40.2591
3282,39.9052
3283,43.7360
3284,38.7710
3285,43.6416
3286,42.5778
3287,47.7854
3288,67.2269
3289,47.5591
3290,47.8059
3291,47.0066
3292,46.9813
3293,45.6426
3294,45.3394
3295,47.2721
3296,44.9391
3297,48.0783
3298,48.3209
3299,46.2559
3300,47.7433
3301,45.2699
3302,44.0801
3303,43.5423
3304,42.1590
3305,39.4435
3306,47.3546
3307,45.8366
3308,47.1859
3309,45.8103
3310,41.5019
3311,43.1035
3312,42.8958
3313,41.2335
3314,41.2035
3315,41.0880
3316,39.9776
3317,49.9528
3318,42.8127
3319,44.7283
3320,40.3132
3321,42.3459
3322,40.5104
3323,40.9036
3324,41.4723
3325,45.5729
3326,44.5741
3327,40.5824
3328,42.8899
3329,45.7740
3330,46.9142
3331,50.4857
3332,45.7511
3333,47.0810
3334,46.4385
3335,42.3609
3336,39.7666
3337,47.8892
3338,40.0909
3339,46.3693
3340,43.7509
3341,42.0070
3342,43.2724
3343,48.8250
3344,46.4341
3345,44.9100
3346,41.8902
3347,45.5669
3348,39.6786
3349,46.4404
3350,42.9502
3351,44.8205
3352,44.6351
3353,42.7839
3354,46.7572
3355,62.5448
3356,42.8071
3357,43.7350
3358,41.4598
3359,47.4805
3360,43.4040
3361,41.4333
3362,50.5922
3363,42.1126
3364,45.3115
3365,44.5510
3366,48.8230
3367,45.8368
3368,46.6914
3369,40.0653
3370,46.3504
3371,42.8186
3372,45.7209
3373,43.8924
3374,46.1079
3375,42.7400
3376,41.6463
3377,44.9692
